"sample","chromosome","group","strand","piN","piS","piN.piS","pi"
"EntNic_BIJ-C30","HiC_scaffold_4","Grassland","minus",0.00161787425039266,0.0104500181560249,0.15482,0.0117015
"EntNic_BIJ-C30","HiC_scaffold_5","Grassland","plus",0.00244198461625608,0.0134350816910838,0.181762,0.0133127
"EntNic_BIJ-C30","HiC_scaffold_5","Grassland","minus",0.00226027071525844,0.0127151632819073,0.177762,0.0133127
"EntNic_BIJ-C30","HiC_scaffold_6","Grassland","plus",0.00157417821488989,0.0126885965709336,0.124062,0.0115798
"EntNic_BIJ-C30","HiC_scaffold_6","Grassland","minus",0.00155692042161331,0.0117356574955663,0.132666,0.0115798
"EntNic_BIJ-C30","HiC_scaffold_7","Grassland","plus",0.0015687455503011,0.00636357590675319,0.246519,0.0201085
"EntNic_BIJ-C30","HiC_scaffold_7","Grassland","minus",0.00144441785787769,0.00609366834686028,0.237036,0.0201085
"EntNic_BJJ-C34","HiC_scaffold_1","Grassland","plus",0.00206366352059861,0.0106886474961231,0.193071,0.0167164
"EntNic_BJJ-C34","HiC_scaffold_1","Grassland","minus",0.00204150435180132,0.0104738162100464,0.194915,0.0167164
"EntNic_BJJ-C34","HiC_scaffold_2","Grassland","plus",0.000857568229416436,0.0040482628703736,0.211836,0.00412964
"EntNic_BJJ-C34","HiC_scaffold_2","Grassland","minus",0.000876703425233861,0.00421200999205031,0.208144,0.00412964
"EntNic_BJJ-C34","HiC_scaffold_3","Grassland","plus",0.00200644775424985,0.0109486548577167,0.18326,0.0134728
"EntNic_BJJ-C34","HiC_scaffold_3","Grassland","minus",0.00189280341204843,0.0105298297214372,0.179756,0.0134728
"EntNic_BJJ-C34","HiC_scaffold_4","Grassland","plus",0.00137755602581005,0.00965500977961755,0.142678,0.0115009
"EntNic_BJJ-C34","HiC_scaffold_4","Grassland","minus",0.00141986781162126,0.00963469780584966,0.14737,0.0115009
"EntNic_BJJ-C34","HiC_scaffold_5","Grassland","plus",0.00212796961679229,0.011940927961068,0.178208,0.0130846
"EntNic_BJJ-C34","HiC_scaffold_5","Grassland","minus",0.0020377601204149,0.01177219888357,0.173099,0.0130846
"EntNic_BJJ-C34","HiC_scaffold_6","Grassland","plus",0.00137905416046162,0.0115663817471575,0.11923,0.0112488
"EntNic_BJJ-C34","HiC_scaffold_6","Grassland","minus",0.00130618888462126,0.010692759390518,0.122156,0.0112488
"EntNic_BJJ-C34","HiC_scaffold_7","Grassland","plus",0.0013589228719987,0.00566028457013093,0.24008,0.0206423
"EntNic_BJJ-C34","HiC_scaffold_7","Grassland","minus",0.00123963264767065,0.00536246327907231,0.231169,0.0206423
"EntNic_BRS-C268","HiC_scaffold_1","Grassland","plus",0.00253461198010556,0.0126350359927748,0.200602,0.0158151
"EntNic_BRS-C268","HiC_scaffold_1","Grassland","minus",0.00249838847860387,0.0124251921464125,0.201074,0.0158151
"EntNic_BRS-C268","HiC_scaffold_2","Grassland","plus",0.00106805278108318,0.0053996240972031,0.197801,0.00445416
"EntNic_BRS-C268","HiC_scaffold_2","Grassland","minus",0.00116912334252763,0.0055875823903415,0.209236,0.00445416
"EntNic_BRS-C268","HiC_scaffold_3","Grassland","plus",0.00225359093232585,0.0124126644193992,0.181556,0.0123234
"EntNic_BRS-C268","HiC_scaffold_3","Grassland","minus",0.00219780636391434,0.0124482710324849,0.176555,0.0123234
"EntNic_BRS-C268","HiC_scaffold_4","Grassland","plus",0.00170256564099407,0.0115697868657432,0.147156,0.0119787
"EntNic_BRS-C268","HiC_scaffold_4","Grassland","minus",0.00175602191345221,0.0115187956440292,0.152448,0.0119787
"EntNic_BRS-C268","HiC_scaffold_5","Grassland","plus",0.00271217745844698,0.0149644740355007,0.181241,0.0134223
"EntNic_BRS-C268","HiC_scaffold_5","Grassland","minus",0.00250100795947667,0.0145048537835532,0.172426,0.0134223
"EntNic_BRS-C268","HiC_scaffold_6","Grassland","plus",0.00171159583538016,0.0141970655162905,0.12056,0.011162
"EntNic_BRS-C268","HiC_scaffold_6","Grassland","minus",0.00169787587684439,0.013309570413191,0.127568,0.011162
"EntNic_BRS-C268","HiC_scaffold_7","Grassland","plus",0.0015748238722522,0.00626084140059472,0.251536,0.017577
"EntNic_BRS-C268","HiC_scaffold_7","Grassland","minus",0.00143024989785335,0.00593761435252033,0.24088,0.017577
"EntNic_DoeJ-C27","HiC_scaffold_1","Grassland","plus",0.00249496305715582,0.0127634802978086,0.195477,0.0161186
"EntNic_DoeJ-C27","HiC_scaffold_1","Grassland","minus",0.00247427521005889,0.0124233409856047,0.199163,0.0161186
"EntNic_DoeJ-C27","HiC_scaffold_2","Grassland","plus",0.00109402088922455,0.00524762341221869,0.208479,0.00372439
"EntNic_DoeJ-C27","HiC_scaffold_2","Grassland","minus",0.00109721680741933,0.00513838292815978,0.213533,0.00372439
"EntNic_DoeJ-C27","HiC_scaffold_3","Grassland","plus",0.00247693506492472,0.0133004505022071,0.186229,0.0128457
"EntNic_DoeJ-C27","HiC_scaffold_3","Grassland","minus",0.00233060915594155,0.0130022978258806,0.179246,0.0128457
"EntNic_DoeJ-C27","HiC_scaffold_4","Grassland","plus",0.00172292000615113,0.0117659156536631,0.146433,0.0112029
